inFFT[88].im, 0x00000000,
inFFT[89].re, 0x00002000,
inFFT[89].im, 0x00000000,
inFFT[90].re, 0x00003800,
inFFT[90].im, 0x00000000,
inFFT[91].re, 0x00003400,
inFFT[91].im, 0x00000000,
inFFT[92].re, 0x00001800,
inFFT[92].im, 0x00000000,
inFFT[93].re, 0xFFFFF000,
inFFT[93].im, 0x00000000,
inFFT[94].re, 0xFFFFC800,
inFFT[94].im, 0x00000000,
inFFT[95].re, 0xFFFFB400,
inFFT[95].im, 0x00000000,
inFFT[96].re, 0xFFFFB400,
inFFT[96].im, 0x00000000,
inFFT[97].re, 0xFFFFD000,
inFFT[97].im, 0x00000000,
inFFT[98].re, 0xFFFFF800,
inFFT[98].im, 0x00000000,
inFFT[99].re, 0x00002000,
inFFT[99].im, 0x00000000,
inFFT[100].re, 0x00003800,
inFFT[100].im, 0x00000000,
inFFT[101].re, 0x00003400,
inFFT[101].im, 0x00000000,
inFFT[102].re, 0x00001800,
inFFT[102].im, 0x00000000,
inFFT[103].re, 0xFFFFF000,
inFFT[103].im, 0x00000000,
inFFT[104].re, 0xFFFFCC00,
inFFT[104].im, 0x00000000,
inFFT[105].re, 0xFFFFB400,
inFFT[105].im, 0x00000000,
inFFT[106].re, 0xFFFFB400,
inFFT[106].im, 0x00000000,
inFFT[107].re, 0xFFFFD000,
inFFT[107].im, 0x00000000,
inFFT[108].re, 0xFFFFF800,
inFFT[108].im, 0x00000000,
inFFT[109].re, 0x00002000,
inFFT[109].im, 0x00000000,
inFFT[110].re, 0x00003800,
inFFT[110].im, 0x00000000,
inFFT[111].re, 0x00003400,
inFFT[111].im, 0x00000000,
inFFT[112].re, 0x00001800,
inFFT[112].im, 0x00000000,
inFFT[113].re, 0xFFFFF000,
inFFT[113].im, 0x00000000,
inFFT[114].re, 0xFFFFC800,
inFFT[114].im, 0x00000000,
inFFT[115].re, 0xFFFFB000,
inFFT[115].im, 0x00000000,
inFFT[116].re, 0xFFFFB800,
inFFT[116].im, 0x00000000,
inFFT[117].re, 0xFFFFD000,
inFFT[117].im, 0x00000000,
inFFT[118].re, 0xFFFFF800,
inFFT[118].im, 0x00000000,
inFFT[119].re, 0x00002000,
inFFT[119].im, 0x00000000,
inFFT[120].re, 0x00003800,
inFFT[120].im, 0x00000000,
inFFT[121].re, 0x00003800,
inFFT[121].im, 0x00000000,
inFFT[122].re, 0x00001800,
inFFT[122].im, 0x00000000,
inFFT[123].re, 0xFFFFF000,
inFFT[123].im, 0x00000000,
inFFT[124].re, 0xFFFFC800,
inFFT[124].im, 0x00000000,
inFFT[125].re, 0xFFFFB400,
inFFT[125].im, 0x00000000,
inFFT[126].re, 0xFFFFB400,
inFFT[126].im, 0x00000000,
inFFT[127].re, 0xFFFFD000,
inFFT[127].im, 0x00000000,
inFFT[128].re, 0xFFFFF800,
inFFT[128].im, 0x00000000,
